station_name,lon,lat
中滩,102.571645,24.7821286
中牟,114.0274856,34.7100702
中谊村,102.5874121,24.7374581
丰乐镇,130.8661647,46.810308
丰南,118.0903056,39.5722327
丰城,115.7852828,28.1859208
丰城东,115.8058681,28.1687135
丰城南,115.7557763,28.0717516
丰宁,116.6332135,41.1640157
丰广,126.7085823,44.2491022
丰水村,103.9832675,36.4598266
丰润西,118.0194576,39.85386
丰都,107.685842,29.8480689
丰镇,113.156457,40.433881
丰镇北,113.1240371,40.4418307
丰顺东,116.1861424,23.8069818
串子沟,120.4216802,40.7263491
临县,110.9896671,37.8914593
临城,114.606092,37.4685251
临川,116.249537,27.962256
临巴溪,107.0677056,30.8859204
临平南,120.2917822,30.3828603
临汝镇,112.6189028,34.2672929
临江,126.897169,41.8014575
临江场,105.946023,29.233513
临江寺,104.6168524,30.2259898
临江溪,104.2271221,28.174398
临汾,111.5309138,36.0871901
临汾西,111.4594344,36.1016459
临沂,118.3365565,35.0370419
临沂东,118.4377511,35.1173634
临沂北,118.3748424,35.1965267
临沂南,118.4352161,35.0443428
临沧,100.1115046,23.933437
临河,107.4245324,40.7422071
临泉,115.3720128,33.024398
临泽,100.1584088,39.1562942
临泽南,100.1229874,39.1331871
临海,121.2424833,28.8830234
临海东,121.2521874,28.7523598
临海南,121.128814,28.8111669
临淄,118.3025997,36.8048844
临淄北,118.3351245,36.9056078
临清,115.7316634,36.8416812
临湘,113.4780782,29.477298
临潼,109.207605,34.3898041
临潼东,109.2510232,34.4335913
临澧西,111.6037861,29.4363592
临西,115.7080608,36.9277803
临邑,116.8389796,37.3125952
临颍,113.914648,33.8082207
临高南,109.7551457,19.8696353
丹东,124.3817595,40.1228859
丹东西,124.2574914,39.9980972
丹凤,110.3490202,33.6813506
丹徒,119.5131952,32.119296
丹水池,114.3397365,30.6584469
丹江口,111.3822945,32.4597963
丹阳,119.5885239,32.0039885
丹阳北,119.6662181,32.0168009
丹霞山,113.7999644,24.9577249
丽水,119.94946,28.4449024
丽江,100.2512118,26.8143271
乃托,102.6020781,28.7402071
乃林,119.2676639,41.908505
么荒,122.2452217,42.0729858
义乌,120.0387041,29.3808375
义井,114.1461897,36.5016548
义县,121.2223606,41.5199026
义县西,121.2040472,41.5346074
义马,111.9060128,34.7223642
乌丹,118.978031,42.9321252
乌伊岭,129.4252563,48.5898095
乌兰,98.4665564,36.9536579
乌兰哈达,113.18193,41.63204
乌兰察布,113.1523899,40.963263
乌兰木伦,110.1937262,39.3040165
乌兰木图,121.2867853,41.9623801
乌兰浩特,122.0565391,46.0687386
乌兰胡同,109.862439,41.6091374
乌兰花,113.0940637,41.9988661
乌兰陶勒盖,109.181162,38.7047025
乌北,87.4667318,43.8761096
乌固诺尔,119.3198711,49.1520115
乌图美仁,93.1925905,36.8955471
乌奴耳,121.240884,48.8717257
乌审旗,108.8711949,38.5444838
乌尔旗汗,121.3786291,49.5637138
乌山,112.7451539,28.3092217
乌拉山,108.7729096,40.6556998
乌拉山西,108.6452003,40.7116117
乌拉特前旗,108.6105007,40.7338426
乌斯土,122.6860535,43.7137608
乌日图,116.0277645,43.0633563
乌日根塔拉,112.7971202,43.2698138
乌江寨,106.836325,27.4496034
乌海,106.7940432,39.7114097
乌海东,106.800999,39.6688821
乌海北,106.7748517,39.7998446
乌海南,106.7624249,39.4395229
乌海西,106.7338997,39.4545984
乌苏,84.715911,44.4078672
乌西,87.4179224,43.8680421
乌鲁布铁,124.3671841,49.8871678
乌鲁木齐,87.5262049,43.8394124
乌鲁木齐南,87.5832322,43.7790904
乌龙泉东,114.3569811,30.2080241
乌龙泉南,114.3399597,30.2591179
乐东,108.9350242,18.4471603
乐化,115.8675392,28.818522
乐同,113.1698218,23.4261529
乐善村,103.149413,25.026426
乐山,103.7096769,29.6045812
乐平北,117.0377785,29.1608001
乐平市,117.1090057,28.9690453
乐昌,113.3518817,25.1319249
乐昌东,113.3906972,25.116242
乐武,102.6239524,28.3039478
乐清,120.8555424,28.0877033
乐清东,120.9874964,28.2002762
乐素河,106.0466534,33.1933751
乐跃,102.3197355,27.2943754
乐都,102.4326011,36.4769135
乔庄东,116.6900837,39.8941094
九三,125.2486603,48.8799271
九台,125.831614,44.147243
九台南,125.8045812,44.0202644
九江,116.001671,29.7066051
九江西,115.8902106,29.6442839
九营,131.9452451,46.9179452
九郎山,113.0718362,27.9218717
九里,103.5424893,29.4835061
九里垄,115.832597,29.6303975
九龙坡,106.3530988,29.3949226
九龙塘,106.8417436,28.362325
乳山,121.5019606,36.9967243
乳山南,121.552727,36.8758132
乾县,108.2739615,34.5071267
乾安,123.874159,45.097796
了墩,92.2191776,43.1426397
二井,126.5229716,48.3559596
二塘,110.1917016,25.2273679
二营,106.2440467,36.1842275
二连,111.9811223,43.6551908
二道岩,105.16088,26.36384
二道桥,103.8663676,27.4841095
二道沙河,109.9932779,40.6261756
二道沟,113.8368399,41.8495752
二道沟门,117.1440358,40.8843986
二道河,127.6239126,43.6042754
二道湾,124.5407793,47.9591437
二龙,119.2702823,41.6969868
二龙屯,120.2624765,45.7190591
二龙山屯,126.6351945,48.4876146
于田,81.6459232,36.8117047
于都,115.4114865,25.978581
于都北,115.5941801,26.2624606
云东海,112.8405188,23.2205097
云南驿,100.7031313,25.3823176
云县,100.1264683,24.4016727
云居寺,115.7934901,39.6202628
云山,114.4125411,23.1126949
云彩岭,114.3569258,39.4476009
云梦,113.73272,31.02395
云梦东,113.7789363,31.0481301
云浮东,112.1332222,23.0150181
云田乡,104.7163535,35.1118389
云端,119.8241266,45.5645216
云阳,108.7200971,30.9999767
云霄,117.3568609,23.893835
云龙,121.5975493,29.7838312
互做布其,104.6590179,41.148509
五七,121.8591499,41.3407395
五个圈,95.2098369,37.9272146
五五,84.8164199,44.8581938
五凤溪,104.4925907,30.6241711
五十家子,118.1584095,42.0902695
五华,115.6276444,24.0595027
五原,108.0787289,40.9125716
五叉沟,120.3125407,46.769263
五合,108.5374364,22.8250027
五大连池,126.6107667,48.6271429
五女山,125.3213067,41.276799
五家,126.3871143,45.5423002
五寨,111.8273594,38.9165291
五常,127.1364579,44.9197887
五府山,118.0409789,28.2326117
五桥,108.4726641,30.7771177
五棵树,126.1537458,44.7989477
五河,117.8443034,33.1247332
五莲,119.201499,35.8055241
五营,129.2299335,48.1095801
五道木,122.39907,43.65066
五道河,117.060716,40.8917043
五龙背,124.269306,40.258618
五龙背东,124.2815334,40.2630636
井冈山,114.2925584,26.7310568
井南,114.0105968,37.9918236
井口,106.455201,29.6567
井店,113.7152223,36.6049589
井陉,114.1307946,38.0341984
亚复,126.53203,44.06418
亚布力,128.6088646,44.9265484
亚布力南,128.4815832,44.7908031
亚布力西,128.5805642,44.9081097
亚沟,127.070039,45.4804553
亚河,130.422929,45.3951063
亚龙湾,109.5982924,18.3043516
交城,112.1916431,37.5218277
亦庄,116.5962891,39.8117636
京山,113.1309724,31.0389194
京山南,112.9728717,30.8267679
亭亮,107.1843536,22.2195506
亭林,121.3540551,30.8971291
亮兵台,128.7778008,43.1921067
亮甲店,121.9362581,39.212538
亳州,115.7921916,33.8493274
亳州南,115.7930907,33.796241
什邡西,104.1178565,31.1235689
什里店,113.9366706,36.6902868
仁布,89.8125686,29.313505
介休,111.9130844,37.0179736
介休东,111.9821254,37.0527979
从江,109.1102825,25.9121549
仙人桥,127.2341036,42.1737335
仙人洞,123.0132776,39.9453407
仙居,120.6393781,28.8249459
仙居南,120.7479591,28.8228813
仙村,113.7062645,23.1750111
仙林,118.9075747,32.1248804
仙桃,113.5014471,30.3232467
仙桃西,113.133989,30.4273102
仙水,103.8340919,27.1664363
仙游,118.8666649,25.2535131
代县,112.97778,39.07609
代湾,103.4586,29.31492
以勒,105.1187718,27.5837318
仪征,119.144641,32.316103
仪陇,106.3102387,31.2621503
仲恺,114.2618454,23.0294187
任丘,116.1385352,38.6934313
伊图塔,119.3160043,45.2930403
伊图里河,121.5443272,50.6276552
伊宁,81.2752649,43.966415
伊宁东,81.4999234,43.9539882
伊尔施,119.8405613,47.289865
伊川,112.4832946,34.4170296
伊拉哈,125.1598873,48.8198769
伊敏,119.7816342,48.6489615
伊敏索木,119.7143016,48.4618986
伊春,128.9202698,47.7273253
伊通,125.2804713,43.3687336
会同,109.727823,26.885538
会昌北,115.7806208,25.8298359
伯官,123.710108,41.8790387
低庄,110.710622,28.052671
低窝铺,97.241798,40.142755
何三家,120.9704237,41.0544974
何刘,114.4910554,30.5308111
何寨,109.3151974,34.4986889
余姚,121.1569221,30.0568106
余姚北,121.1637121,30.1008272
余家湾,114.2975662,30.5056988
余干,116.6439183,28.7731864
余江,116.8138801,28.218754
余粮堡,121.9634134,43.437999
佛坪,107.9793513,33.5018471
佛山,113.0923132,23.0516585
佛山西,113.028338,23.0820313
佛岭,130.5690737,45.6245203
佛肇,112.5692198,22.8693979
佳木斯,130.3758882,46.801709
佳木斯西,130.257432,46.7719102
依兰,129.6000269,46.2771813
依吞布拉克,90.1449895,38.3853837
依安,125.2784315,47.8717836
侯家坪,104.6452314,30.0765774
侯马,111.3521077,35.613142
侯马北,111.3646645,35.6461356
侯马西,111.2820508,35.6016811
保健,114.389685,42.0894654
保定,115.473167,38.8627726
保定东,115.5957278,38.8634576
保家楼,108.3031941,29.4277319
保山,99.1771456,25.1566432
保康,123.3203737,44.125773
保康县,111.2213373,31.744993
保德,111.0749698,38.9588675
保田,104.7005468,25.3799611
俞冲,104.6969558,29.2205106
信丰,114.9024383,25.4003848
信丰西,114.8954487,25.3534795
信宜,110.9609272,22.3327248
信阳,114.0773267,32.130793
信阳东,114.1543869,32.1459152
信阳北,114.0685675,32.1899573
信阳西,113.92713,32.2312212
修文,112.71389,37.60671
修文县,106.7488999,26.854589
修武,113.432754,35.243616
修武西,113.4186098,35.2110874
倭肯,130.5227063,46.0025337
偃师,112.7900307,34.7298719
偏岭,123.9717555,41.3861959
偏岭镇,123.1486782,40.4755522
偏店,113.74768,36.64614
元坝,105.9679518,32.32201
元宝山,119.2369629,42.2318464
元氏,114.538345,37.7589663
元江,102.0064557,23.7025746
元田坝,106.836211,28.1939374
元谋,101.8409365,25.7415024
元谋西,101.8393217,25.7115205
元龙,106.1756072,34.5358719
先锋营,101.7280018,26.3404486
光山,114.9596643,31.9792679
光明,124.6286369,48.2778508
光明城,113.9499003,22.73558
光泽,117.3465183,27.55372
克一河,122.4868367,50.6502998
克东,126.2043607,48.1585068
克山,125.8438699,48.0135086
克拉玛依,84.8931223,45.5271559
免渡河,121.0529533,49.0910704
兑镇,111.60423,37.0898
兖州,116.8358661,35.5563381
党家庄,116.8968714,36.5784272
党武,106.6045816,26.4071551
全州南,111.0365114,25.9560928
全椒,118.277426,32.0623412
八仙筒,121.05767,43.19953
八家子,129.1325112,42.6650761
八斗岭,117.577529,32.1555272
八方,124.7796081,48.4124617
八方山,112.9287567,28.2341483
八步,105.7834967,26.8344889
八渡,105.7973896,24.7087686
八盘峡,103.4127395,36.137515
八苏木,112.8413939,40.9514161
八角台,121.2442692,41.2859592
八达岭,115.9953024,40.3588174
八达岭长城,116.0050515,40.3603284
八都,115.2589614,27.440172
八里甸子,124.8875141,41.2350267
八面城,124.0552662,43.2068928
八面通,130.5349935,44.9247158
公主岭,124.805036,43.5069841
公主岭南,124.809726,43.470884
公兴,103.967698,30.478375
公庙子,108.9593527,40.6235805
公积坂,110.3614456,40.5573046
公营子,119.8499259,41.3627926
六个鸡,107.7846451,26.5716743
六合,118.8413248,32.3679416
六合镇,124.6903097,48.3486098
六安,116.4944637,31.7169969
六枝,105.461331,26.2291193
六枝南,105.434879,26.2309482
六盘山,106.2880087,35.7069675
六盘水,104.8501119,26.5940797
六盘水东,105.0315768,26.5239928
六盘水南,104.852019,26.5612908
六道河,127.0715511,43.9318525
六道河子,117.3088554,40.3944681
兰岗,129.4043568,44.2652223
兰岭,130.6980472,45.2946309
兰州,103.8485056,36.034178
兰州东,103.890225,36.0301175
兰州新区,103.6156605,36.469722
兰州西,103.7492843,36.0675844
兰店,123.0211901,39.768391
兰棱,126.1831654,45.2194808
兰溪,119.4750576,29.2161839
兰溪东,119.498656,29.2339911
兰考,114.813812,34.815541
兰考南,114.8183029,34.7720247
兰陵北,118.0065469,34.8967871
